scan_case,clean_label,noise_case,delta_nu_Hz,white_noise_var,sigma_frac,n_tod,n_pix_solved,hit_cut,method,n_pix,rmse,bias,std,corr,median_abs_residual,p95_abs_residual,n_iter,converged
C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",none,,0.0,0.0,720,528,1.1910929487923213e-05,equivalent_diagonal_GLS,528,3012.2526723328797,-2608.193616867251,1506.9811607679446,0.06538548166661988,2168.9182843867306,5146.066116443007,,
C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",none,,0.0,0.0,720,528,1.1910929487923213e-05,hydra_lite_IRLS,528,3012.2526723328797,-2608.193616867251,1506.9811607679446,0.06538548166661988,2168.9182843867306,5146.066116443007,0.0,True
C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",raw_10MHz_over_8192,1220.703125,6.826666666666667e-06,0.0026127890589687235,720,528,1.1910929487923213e-05,equivalent_diagonal_GLS,528,2095.5835410796813,-1183.0177764723774,1729.7223240145822,0.2616369220140468,1239.203243107727,3576.907845825823,,
C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",raw_10MHz_over_8192,1220.703125,6.826666666666667e-06,0.0026127890589687235,720,528,1.1910929487923213e-05,hydra_lite_IRLS,528,2094.035467788521,-1182.6260666730416,1728.1146162166851,0.26448788088979847,1239.292851993985,3558.368442043522,5.0,True
C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",bandavg_10kHz,10000.0,8.333333333333333e-07,0.0009128709291752768,720,528,1.1910929487923213e-05,equivalent_diagonal_GLS,528,1749.5835229402035,-927.9777226998737,1483.2059364486813,0.47842639619592303,792.7991660420247,3056.4371658991804,,
C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",bandavg_10kHz,10000.0,8.333333333333333e-07,0.0009128709291752768,720,528,1.1910929487923213e-05,hydra_lite_IRLS,528,1749.0914773511508,-928.3963894099132,1482.3633631040225,0.4793425937994493,797.1526749591461,3056.395386166734,4.0,True
C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",bandavg_100kHz,100000.0,8.333333333333334e-08,0.0002886751345948129,720,528,1.1910929487923213e-05,equivalent_diagonal_GLS,528,1381.6618437165332,-651.2626482654617,1218.5427417027388,0.6839786106279407,632.0684584476978,2522.8923019741947,,
C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",bandavg_100kHz,100000.0,8.333333333333334e-08,0.0002886751345948129,720,528,1.1910929487923213e-05,hydra_lite_IRLS,528,1381.5208812582894,-651.2188171174768,1218.4063351709865,0.6840898251164237,632.2610837869645,2522.282348435178,3.0,True
C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",bandavg_1MHz,1000000.0,8.333333333333334e-09,9.128709291752768e-05,720,528,1.1910929487923213e-05,equivalent_diagonal_GLS,528,1126.8903251046804,-493.6455297006402,1013.0132752442619,0.8006479326333101,406.22206720694373,2286.103326014671,,
C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",bandavg_1MHz,1000000.0,8.333333333333334e-09,9.128709291752768e-05,720,528,1.1910929487923213e-05,hydra_lite_IRLS,528,1126.8890709261243,-493.6449472171728,1013.0121639248456,0.8006498792995695,406.00295364747535,2286.0100211762615,3.0,True
E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",none,,0.0,0.0,8640,536,0.00014316841097438042,equivalent_diagonal_GLS,536,3049.4056822535886,-2602.5611567083215,1589.1980495059504,0.05429411251999264,2145.8106601689788,5227.278632219395,,
E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",none,,0.0,0.0,8640,536,0.00014316841097438042,hydra_lite_IRLS,536,3049.4056822535886,-2602.5611567083215,1589.1980495059504,0.05429411251999264,2145.8106601689788,5227.278632219395,0.0,True
E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",raw_10MHz_over_8192,1220.703125,6.826666666666667e-06,0.0026127890589687235,8640,536,0.00014316841097438042,equivalent_diagonal_GLS,536,1752.7605661070572,-902.9247484241678,1502.297074743569,0.5094866999754849,758.6014801161349,3135.5019820798725,,
E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",raw_10MHz_over_8192,1220.703125,6.826666666666667e-06,0.0026127890589687235,8640,536,0.00014316841097438042,hydra_lite_IRLS,536,1752.1907631785848,-903.207633229884,1501.4621013677377,0.5102847268591596,758.0356926885689,3135.8070397405463,4.0,True
