scan_case,clean_label,noise_case,method,n_common_pix,n_pix,rmse,bias,std,corr,median_abs_residual,p95_abs_residual
E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",raw_10MHz_over_8192,equivalent_diagonal_GLS,325,325,820.6420482763546,-86.43511216695636,816.0774122495343,0.6720018587202194,388.67669877882963,1713.6110905927685
E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",raw_10MHz_over_8192,hydra_lite_IRLS,325,325,820.8696621993745,-86.8046749425712,816.2670829620841,0.6719568309568283,387.37346997245595,1711.2748709264827
E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",bandavg_10kHz,equivalent_diagonal_GLS,325,325,562.0346784424457,131.73169338625596,546.3787520845707,0.8569795650064805,418.4262734149172,914.4798909837089
E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",bandavg_10kHz,hydra_lite_IRLS,325,325,561.9998683828868,131.74836574436864,546.3389242824185,0.8570021093145576,419.9114327817558,914.6087835926395
E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",bandavg_100kHz,equivalent_diagonal_GLS,325,325,427.1900320915076,150.724974850355,399.71653140032015,0.9269182418198839,324.8716126815302,771.3730716861589
E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",bandavg_100kHz,hydra_lite_IRLS,325,325,427.1994003854433,150.73143491758992,399.72410762595575,0.9269152846412432,324.7887419514575,771.7394380653653
E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",bandavg_1MHz,equivalent_diagonal_GLS,325,325,263.58906108901147,79.81136745769365,251.2157215428995,0.9718131071079239,175.97300452508375,489.66659403720064
E_same_LST_12days_30deg_step_stacked,"Same LST, 12 days, 30° step",bandavg_1MHz,hydra_lite_IRLS,325,325,263.5940108289802,79.8119380560097,251.22073379530636,0.9718120146856595,175.9408284441347,489.6747644450286
G_same_LST_12days_fast_hourly_stacked,"Same LST, 12 days, fast hourly",none,equivalent_diagonal_GLS,325,325,2742.7934765259665,-2532.737401535999,1052.6905099477588,0.20153932631487367,2246.0762016279446,4564.514348061196
G_same_LST_12days_fast_hourly_stacked,"Same LST, 12 days, fast hourly",none,hydra_lite_IRLS,325,325,2742.7934765259665,-2532.737401535999,1052.6905099477588,0.20153932631487367,2246.0762016279446,4564.514348061196
G_same_LST_12days_fast_hourly_stacked,"Same LST, 12 days, fast hourly",raw_10MHz_over_8192,equivalent_diagonal_GLS,325,325,818.5544261914961,-92.48384027040494,813.313031941901,0.6756970078889502,376.6679009593877,1625.9653568371798
G_same_LST_12days_fast_hourly_stacked,"Same LST, 12 days, fast hourly",raw_10MHz_over_8192,hydra_lite_IRLS,325,325,818.7523936880716,-92.84584521888812,813.4710389408693,0.6756644758520227,378.02982868345816,1628.2990890205206
G_same_LST_12days_fast_hourly_stacked,"Same LST, 12 days, fast hourly",bandavg_10kHz,equivalent_diagonal_GLS,325,325,554.0061085047652,122.71756539315818,540.2436185690392,0.8605735007964244,405.9638308532035,948.7363398133602
G_same_LST_12days_fast_hourly_stacked,"Same LST, 12 days, fast hourly",bandavg_10kHz,hydra_lite_IRLS,325,325,553.9955467419563,122.72537746984207,540.2310131182805,0.8605809559336469,405.3584210906329,948.7436017063835
G_same_LST_12days_fast_hourly_stacked,"Same LST, 12 days, fast hourly",bandavg_100kHz,equivalent_diagonal_GLS,325,325,379.1344434395509,138.88813418090518,352.7789851818911,0.9431576508791085,256.4065826837027,745.3185309866537
G_same_LST_12days_fast_hourly_stacked,"Same LST, 12 days, fast hourly",bandavg_100kHz,hydra_lite_IRLS,325,325,379.15058396655303,138.89256346940158,352.79458773495435,0.9431523324975302,256.3572381074855,745.6900533346058
G_same_LST_12days_fast_hourly_stacked,"Same LST, 12 days, fast hourly",bandavg_1MHz,equivalent_diagonal_GLS,325,325,335.5029040333354,86.47586528838627,324.1668140594073,0.9542925496794369,188.24704658635892,667.3810838811963
G_same_LST_12days_fast_hourly_stacked,"Same LST, 12 days, fast hourly",bandavg_1MHz,hydra_lite_IRLS,325,325,335.50815760756035,86.47604058580107,324.1722045854988,0.9542910147440636,188.19888489832533,667.3988632340723
