label,scan_case,clean_case,select_threshold,boundary_layer,n_pix,rmse,median_abs_residual,p95_abs_residual,median_unc
C_fast_rotation_24h_one_turn_per_hour__threshold_0.03,C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",0.03,1,64,1318.06013723248,645.4038288968225,2879.3927083765825,60.7235444819116
C_fast_rotation_24h_one_turn_per_hour__threshold_0.03,C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",0.03,2,64,460.22985724502473,308.5938092446596,771.8627455947171,42.58469871040376
C_fast_rotation_24h_one_turn_per_hour__threshold_0.03,C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",0.03,3,64,413.61323132989753,270.3580275124192,899.1304455810621,36.27466672638223
C_fast_rotation_24h_one_turn_per_hour__threshold_0.03,C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",0.03,4,52,295.44885667991997,174.98278121201577,672.9790123077372,30.295067249987717
C_fast_rotation_24h_one_turn_per_hour__threshold_0.03,C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",0.03,5,36,264.87740611304383,143.42308113321212,539.1764734651612,28.51278338207237
C_fast_rotation_24h_one_turn_per_hour__threshold_0.03,C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",0.03,6,20,254.25400541317083,165.75949783395492,522.0832858826338,30.283134691357603
C_fast_rotation_24h_one_turn_per_hour__threshold_0.03,C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",0.03,7,4,405.0446048876733,353.891230429369,588.746362265778,28.035008293678462
C_fast_rotation_24h_one_turn_per_hour__threshold_0.02,C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",0.02,0,64,2901.353391245776,1972.1825461318758,6108.718015799201,92.930451392813
C_fast_rotation_24h_one_turn_per_hour__threshold_0.02,C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",0.02,1,64,1318.06013723248,645.4038288968225,2879.3927083765825,60.7235444819116
C_fast_rotation_24h_one_turn_per_hour__threshold_0.02,C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",0.02,2,64,460.22985724502473,308.5938092446596,771.8627455947171,42.58469871040376
C_fast_rotation_24h_one_turn_per_hour__threshold_0.02,C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",0.02,3,64,413.61323132989753,270.3580275124192,899.1304455810621,36.27466672638223
C_fast_rotation_24h_one_turn_per_hour__threshold_0.02,C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",0.02,4,52,295.44885667991997,174.98278121201577,672.9790123077372,30.295067249987717
C_fast_rotation_24h_one_turn_per_hour__threshold_0.02,C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",0.02,5,36,264.87740611304383,143.42308113321212,539.1764734651612,28.51278338207237
C_fast_rotation_24h_one_turn_per_hour__threshold_0.02,C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",0.02,6,20,254.25400541317083,165.75949783395492,522.0832858826338,30.283134691357603
C_fast_rotation_24h_one_turn_per_hour__threshold_0.02,C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",0.02,7,4,405.0446048876733,353.891230429369,588.746362265778,28.035008293678462
C_fast_rotation_24h_one_turn_per_hour__threshold_0.01,C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",0.01,0,172,3752.2885291916073,2004.6553542906572,8374.22172174554,99.46253661442061
C_fast_rotation_24h_one_turn_per_hour__threshold_0.01,C_fast_rotation_24h_one_turn_per_hour,"Fast rotation, 24 h",0.01,1,110,3394.8803605713306,1998.9391548216495,6892.99220518906,96.86686543219173
